GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
application,com.example.hexapp.application.handlers,GlobalExceptionHandler,27,0,0,0,4,0,4,0,4,0
application,com.example.hexapp.application.rest.impl,PriceControllerImpl,0,24,0,0,0,2,0,2,0,2
application,com.example.hexapp.application.dto,ErrorDTO,125,0,22,0,4,0,21,0,10,0
application,com.example.hexapp.application.dto,PriceDTO,310,73,70,0,0,11,46,11,11,11
application,com.example.hexapp.application.dto,ErrorDTO.ErrorDTOBuilder,27,0,0,0,1,0,5,0,5,0
application,com.example.hexapp.application.dto,PriceDTO.PriceDTOBuilder,18,63,0,0,0,1,1,10,1,10
application,com.example.hexapp.application.mappers,PriceApplicationMapperImpl,110,0,4,0,33,0,5,0,3,0
